,lat,lng,day,minute,hour,decibelMean,n_agg
299,42.33964196500036,-71.12435376409263,5,58.0,13,64.3358613414471,1
300,42.33953556981155,-71.12439712516137,0,31.0,14,70.34444551638141,1
301,42.33971965151077,-71.12440364426445,2,38.0,15,46.77340018406858,1
302,42.34003292008811,-71.12440371100558,2,55.0,16,71.63681595381134,1
303,42.339913839403295,-71.10104088016641,3,35.0,0,50.22344468898465,1
304,42.33991951437396,-71.10085814837433,3,57.0,0,57.03224444312942,1
305,42.33988759503417,-71.10090548898697,4,5.0,14,63.17790417841764,1
306,42.339844810154965,-71.10092571730745,3,39.0,14,61.58729491170893,2
307,42.3398204,-71.1008209,4,11.0,15,88.43054838535355,1
308,42.339834819733575,-71.1009329985149,2,21.0,16,60.37188462910076,1
309,42.33957472143765,-71.10105066473452,1,35.0,16,38.3592877370367,1
310,42.33976168876088,-71.10094633996955,2,48.0,16,48.47222808213007,1
311,42.339731203651816,-71.10084259380189,5,58.0,17,76.54195601263909,1
312,42.33980460201728,-71.10086822828981,6,7.0,19,43.764712355351975,1
313,42.33984138580136,-71.10090891207784,3,22.0,19,46.69856913281961,1
314,42.33995121100481,-71.10083979993544,2,13.0,22,54.05699638167359,5
315,42.33969865453671,-71.10007564838962,1,58.0,13,58.34838909367165,1
316,42.3398267661899,-71.10001388725243,3,13.0,15,54.95014005580847,1
317,42.33969568560313,-71.1001633210263,6,48.0,21,65.06967411149529,1
318,42.34121663308493,-71.10623309694081,3,38.0,1,61.07495165874708,1
319,42.34093074187499,-71.10585707389436,3,22.0,2,57.52027368247305,1
320,42.34122692389281,-71.10621151275444,5,17.0,2,49.12362428875243,1
321,42.34063400108367,-71.10564667107897,3,10.0,10,60.38730366539436,1
322,42.34108538370798,-71.10561009503074,6,6.0,18,56.02231173749463,1
323,42.3408506,-71.1059103,6,22.0,22,89.69775688956099,1
324,42.340773391455606,-71.1054428409937,1,2.0,12,64.37038575576197,1
325,42.34076008204587,-71.10539392574792,3,25.0,20,65.05820313806028,1
326,42.34145608810733,-71.10416168697898,2,13.5,1,65.47524544403272,2
327,42.34132649288165,-71.10354940617181,2,30.0,2,55.50122385236284,1
328,42.3412180042204,-71.10364520788856,6,56.0,2,63.40827259562644,1
329,42.34137803785721,-71.10367781489259,0,53.0,11,75.34418684085676,1
330,42.3412730676295,-71.10368641742946,2,56.0,15,72.32708081047524,1
331,42.34091850292976,-71.10357195754388,3,44.0,17,60.431495981514814,1
332,42.34120579223361,-71.10269230168996,2,56.0,0,59.30185937208238,1
333,42.341243942689815,-71.10279923708157,2,2.0,1,45.18255918656626,1
334,42.340914427750675,-71.10347555687676,4,36.0,3,57.60117215790204,1
335,42.34099947808791,-71.10320412734649,4,14.5,12,50.32296937074466,2
336,42.34063250334074,-71.1015074140404,2,22.0,0,49.46994982980053,1
337,42.34109378999999,-71.10223097999999,1,58.0,11,72.2356273225252,1
338,42.3411802,-71.0982454,5,8.0,2,69.36529666982757,1
339,42.3420418845884,-71.16672565235865,2,7.0,1,52.840370347503566,1
340,42.34190227329,-71.16704113044591,0,11.0,1,51.667189415397566,1
341,42.34197805639575,-71.16673235788119,2,8.0,1,56.06488438530898,1
342,42.34202041153768,-71.16652909118261,5,19.0,1,48.38730929081972,1
343,42.341814933686926,-71.16668099413675,5,30.0,1,47.41232725523693,1
344,42.34201669696937,-71.16689479916465,3,43.5,11,77.82856069594935,2
345,42.34216782268355,-71.16657025187385,1,36.0,14,57.73597726930625,1
346,42.34202109849317,-71.16660337122944,5,31.33333333333333,15,68.0482926428986,3
347,42.341997650875506,-71.16656286229832,5,44.0,15,65.0916608954238,1
348,42.34189156764045,-71.16721685400087,3,45.0,17,53.798556701461976,1
349,42.34225072530502,-71.16645520929937,5,2.0,0,57.00664863769642,1
350,42.34227494771603,-71.16638630917292,0,18.0,1,51.357555319767606,1
351,42.34236425165794,-71.16631129663702,1,1.0,13,80.2669809409487,1
352,42.34224004413571,-71.16647622506879,5,32.0,15,75.65852900285302,1
353,42.34207525,-71.122437,0,58.5,16,76.48402281280525,2
354,42.3419639328889,-71.12182656309672,2,0.0,17,76.3723760334501,1
355,42.34176488568593,-71.1046618415827,3,18.0,0,61.05811347514256,1
356,42.34170225705092,-71.10477114796566,3,46.6,0,62.028540248237846,5
357,42.34238071352975,-71.10472153832626,2,55.0,1,66.92058740305073,1
358,42.34234921641146,-71.10484617477952,3,31.6,3,65.45328024219074,5
359,42.3421224,-71.1052437,3,34.0,4,59.261917310780895,1
360,42.341577825834406,-71.10488296831984,5,38.0,18,58.805288024276,1
361,42.34227970841285,-71.1049224928698,0,13.0,19,50.92058740647587,1
362,42.34239607278264,-71.10496574227426,2,40.0,21,42.9595316915434,1
363,42.342374488919134,-71.1040994671908,3,7.0,0,73.85572356132343,1
364,42.342375110898,-71.10443710413898,3,50.0,0,80.44403220893129,1
365,42.342386052962745,-71.10385053254063,2,1.0,1,58.509387997664305,1
366,42.34234610683736,-71.10397365962416,3,18.33333333333333,2,70.95878467478634,3
367,42.34241592259685,-71.10409361690175,3,25.5,2,58.95615940252616,2
368,42.34203534,-71.10433644,2,39.0,17,75.41813638351017,1
369,42.34156775199085,-71.10351012831616,1,8.0,18,58.53983865213989,1
370,42.34242918164125,-71.10375256271473,2,33.0,21,58.28199966329574,1
371,42.34179884283787,-71.10308373694969,3,18.25,1,70.10479296414198,4
372,42.341789730193305,-71.10309089417184,3,30.0,1,71.40980937483768,1
373,42.34152991230142,-71.10348853253485,2,15.0,4,49.376397410909576,1
374,42.34154640767309,-71.10313298707581,4,59.0,5,69.0058626773861,1
375,42.34155562072989,-71.10313890124318,2,49.0,12,67.14787175087896,1
376,42.34160656166181,-71.10312207658377,2,20.0,14,74.64224992362809,1
377,42.34158778077201,-71.10317925408769,6,44.0,18,69.86915501584036,1
378,42.341901,-71.0989882,3,45.0,18,77.22549986500653,1
379,42.34245753689776,-71.09753710630963,5,17.0,3,45.42419802029925,1
380,42.3424692337044,-71.09752214747479,2,29.0,11,39.412985229720455,1
381,42.34247412041071,-71.09757184631263,1,19.0,15,50.47822718247887,1
382,42.34250591237931,-71.10464943865351,1,21.0,18,66.10676140073927,1
383,42.342522061774226,-71.10383036860564,1,39.0,12,52.01892837444452,1
384,42.34252382465765,-71.10425820904999,6,56.0,17,61.66259828265666,2
