lat,lng
42.24,-71.02131274131274
42.24,-71.02231660231661
42.24,-71.02332046332046
42.24,-71.02432432432433
42.24,-71.02532818532818
42.24,-71.02633204633204
42.24,-71.02733590733591
42.24,-71.02833976833976
42.24,-71.02934362934363
42.24,-71.0303474903475
42.24,-71.03135135135135
42.24,-71.03235521235521
42.24,-71.03335907335908
42.24,-71.03436293436293
42.24,-71.0353667953668
42.24,-71.03637065637065
42.24,-71.03737451737452
42.24,-71.03837837837838
42.24,-71.03938223938223
42.24,-71.0403861003861
42.24,-71.04138996138997
42.24,-71.04239382239382
42.24,-71.04339768339769
42.24,-71.04440154440154
42.24,-71.0454054054054
42.24,-71.04640926640927
42.24,-71.04741312741312
42.24,-71.04841698841699
42.24,-71.04942084942086
42.24,-71.0504247104247
42.24,-71.05142857142857
42.24,-71.05243243243243
42.24,-71.05343629343629
42.24,-71.05444015444016
42.24,-71.05544401544401
42.24,-71.05644787644788
42.24,-71.05745173745174
42.24,-71.0584555984556
42.24,-71.05945945945946
42.24,-71.06046332046333
42.24,-71.06146718146718
42.24,-71.06247104247105
42.24,-71.0634749034749
42.24,-71.06447876447876
42.24,-71.06548262548263
42.24,-71.06648648648648
42.24,-71.06749034749035
42.24,-71.06849420849422
42.24,-71.06949806949807
42.24,-71.07050193050193
42.24,-71.07150579150579
42.24,-71.07250965250965
42.24,-71.07351351351352
42.24,-71.07451737451737
42.24,-71.07552123552124
42.24,-71.0765250965251
42.24,-71.07752895752895
42.24,-71.07853281853282
42.24,-71.07953667953667
42.24,-71.08054054054054
42.24,-71.0815444015444
42.24,-71.08254826254826
42.24,-71.08355212355212
42.24,-71.08455598455599
42.24,-71.08555984555984
42.24,-71.08656370656371
42.24,-71.08756756756758
42.24,-71.08857142857143
42.24,-71.0895752895753
42.24,-71.09057915057915
42.24,-71.09158301158301
42.24,-71.09258687258688
42.24,-71.09359073359073
42.24,-71.0945945945946
42.24,-71.09559845559846
42.24,-71.09660231660231
42.24,-71.09760617760618
42.24,-71.09861003861003
42.24,-71.0996138996139
42.24,-71.10061776061777
42.24,-71.10162162162162
42.24,-71.10262548262548
42.24,-71.10362934362935
42.24,-71.1046332046332
42.24,-71.10563706563707
42.24,-71.10664092664092
42.24,-71.10764478764479
42.24,-71.10864864864865
42.24,-71.1096525096525
42.24,-71.11065637065637
42.24,-71.11166023166024
42.24,-71.11266409266409
42.24,-71.11366795366796
42.24,-71.11467181467182
42.24,-71.11567567567567
42.24,-71.11667953667954
42.24,-71.1176833976834
42.24,-71.11868725868726
42.24,-71.11969111969113
42.24,-71.12069498069498
42.24,-71.12169884169884
42.24,-71.12270270270271
42.24,-71.12370656370656
42.24,-71.12471042471043
42.24,-71.12571428571428
42.24,-71.12671814671815
42.24,-71.12772200772201
42.24,-71.12872586872587
42.24,-71.12972972972973
42.24,-71.1307335907336
42.24,-71.13173745173745
42.24,-71.13274131274132
42.24,-71.13374517374517
42.24,-71.13474903474903
42.24,-71.1357528957529
42.24,-71.13675675675675
42.24,-71.13776061776062
42.24,-71.13876447876449
42.24,-71.13976833976834
42.24,-71.1407722007722
42.24,-71.14177606177606
42.24,-71.14277992277992
42.24,-71.14378378378379
42.24,-71.14478764478764
42.24,-71.14579150579151
42.24,-71.14679536679537
42.24,-71.14779922779923
42.24,-71.14880308880309
42.24,-71.14980694980696
42.24,-71.15081081081081
42.24,-71.15181467181468
42.24,-71.15281853281853
42.24,-71.1538223938224
42.24,-71.15482625482626
42.24,-71.15583011583011
42.24,-71.15683397683398
42.24,-71.15783783783785
42.24,-71.1588416988417
42.24,-71.15984555984556
42.24,-71.16084942084942
42.24,-71.16185328185328
42.24,-71.16285714285715
42.24,-71.163861003861
42.24,-71.16486486486487
42.24,-71.16586872586873
42.24,-71.16687258687259
42.24,-71.16787644787645
42.24,-71.1688803088803
42.24,-71.16988416988417
42.24,-71.17088803088804
42.24,-71.17189189189189
42.24,-71.17289575289576
42.24,-71.17389961389962
42.24,-71.17490347490347
42.24,-71.17590733590734
42.24,-71.1769111969112
42.24,-71.17791505791506
42.24,-71.17891891891892
42.24,-71.17992277992278
42.24,-71.18092664092664
42.24,-71.18193050193051
42.24,-71.18293436293436
42.24,-71.18393822393823
42.24,-71.1849420849421
42.24,-71.18594594594595
42.24,-71.18694980694981
42.24,-71.18795366795366
42.24,-71.18895752895753
42.24,-71.1899613899614
42.24,-71.19096525096525
42.24,-71.19196911196912
42.24,-71.19297297297298
42.24,-71.19397683397683
42.24,-71.1949806949807
42.24,-71.19598455598455
42.24,-71.19698841698842
42.24,-71.19799227799228
42.24,-71.19899613899614
42.24,-71.2
42.24101129943503,-70.94
42.24101129943503,-70.94100386100386
42.24101129943503,-70.94200772200772
42.24101129943503,-70.94301158301158
42.24101129943503,-70.94401544401545
42.24101129943503,-70.9450193050193
42.24101129943503,-70.94602316602317
42.24101129943503,-70.94702702702702
42.24101129943503,-70.94803088803089
42.24101129943503,-70.94903474903475
42.24101129943503,-70.9500386100386
