,lat,lng,n_agg
433,42.3509,-71.0616,1
434,42.3511,-71.0777,2
435,42.3511,-71.0671,1
436,42.3511,-71.0608,1
437,42.3512,-71.1685,1
438,42.3512,-71.1683,1
439,42.3512,-71.0575,1
440,42.3512,-71.044,1
441,42.3513,-71.0684,1
442,42.3514,-71.0569,1
443,42.3514,-71.0488,1
444,42.3515,-71.0609,1
445,42.3515,-71.0606,1
446,42.3515,-71.0602,1
447,42.3517,-71.0747,1
448,42.3517,-71.0626,1
449,42.3518,-71.1237,1
450,42.3518,-71.0716,2
451,42.3519,-71.207,2
452,42.3519,-71.1245,1
453,42.3519,-71.1195,1
454,42.3519,-71.0622,1
455,42.352,-71.1216,1
456,42.352,-71.0695,1
457,42.3521,-71.1319,1
458,42.3523,-71.1247,1
459,42.3524,-71.2039,1
460,42.3525,-71.1288,1
461,42.3526,-71.129,1
462,42.3527,-71.1304,1
463,42.3528,-71.203,1
464,42.353,-71.1343,1
465,42.353,-71.133,1
466,42.353,-71.1329,1
467,42.3531,-71.133,1
468,42.3531,-71.1314,1
469,42.3531,-71.1312,1
470,42.3531,-71.1306,1
471,42.3532,-71.132,1
472,42.3533,-71.1324,1
473,42.3534,-71.0486,2
474,42.3535,-71.138,1
475,42.3535,-71.0531,1
476,42.3536,-71.201,1
477,42.3537,-71.1376,1
478,42.3537,-71.0471,2
479,42.3538,-71.1375,1
480,42.3538,-71.1373,1
481,42.3538,-71.1371,2
482,42.3539,-71.1372,2
483,42.3543,-71.1323,1
484,42.3546,-71.0537,1
485,42.3548,-71.1497,1
486,42.355,-71.051,1
487,42.3551,-71.1342,2
488,42.3552,-71.0623,1
489,42.3555,-71.0614,2
490,42.3562,-71.0506,1
491,42.3566,-71.1868,1
492,42.3569,-71.0599,1
493,42.3569,-71.0581,1
494,42.357,-71.1868,2
495,42.357,-71.0603,2
496,42.357,-71.0598,1
497,42.3571,-71.1865,2
498,42.3571,-71.0609,1
499,42.3573,-71.0701,1
500,42.3576,-71.0628,1
501,42.3576,-71.0537,1
502,42.3578,-71.1486,1
503,42.3579,-71.054,1
504,42.358,-71.2,1
505,42.358,-71.0546,1
506,42.3581,-71.1851,1
507,42.3583,-71.062,2
508,42.3584,-71.0627,1
509,42.3585,-71.0608,1
510,42.3592,-71.0543,2
511,42.3593,-71.0549,1
512,42.3594,-71.0536,1
513,42.3594,-71.0511,1
514,42.3596,-71.051,2
515,42.3599,-71.0633,1
516,42.36,-71.2019,1
517,42.3601,-71.2021,1
518,42.3601,-71.0554,1
519,42.3603,-71.2009,2
520,42.3605,-71.0609,1
521,42.3606,-71.2005,1
522,42.3608,-71.2008,1
523,42.3609,-71.199,1
524,42.361,-71.0966,1
525,42.361,-71.068,1
526,42.361,-71.064,2
527,42.3611,-71.0571,2
528,42.3612,-71.1989,1
529,42.3613,-71.0569,2
530,42.3616,-71.0571,1
531,42.3617,-71.0174,1
532,42.3619,-71.1422,1
533,42.3623,-71.1409,1
534,42.3625,-71.0507,2
535,42.3626,-71.1359,1
536,42.3626,-71.0986,1
537,42.3627,-71.1379,1
538,42.3627,-71.1138,1
539,42.3629,-71.0943,1
540,42.363,-71.1116,1
541,42.363,-71.0556,1
542,42.3631,-71.0925,2
543,42.3631,-71.055,2
544,42.3632,-71.1335,1
545,42.3632,-71.0561,1
546,42.3632,-71.0551,1
547,42.3633,-71.0561,2
548,42.3634,-71.0971,2
549,42.3634,-71.0558,1
550,42.3634,-71.055,1
551,42.3634,-71.0539,2
552,42.3634,-71.0526,1
553,42.3634,-71.0257,2
554,42.3635,-71.0986,2
555,42.3635,-71.0258,1
556,42.3636,-71.056,1
557,42.3637,-71.1667,2
558,42.3637,-71.1011,1
559,42.3637,-71.0542,1
560,42.3638,-71.1017,1
561,42.3638,-71.1013,1
562,42.3638,-71.0873,1
563,42.3639,-71.0555,1
564,42.3639,-71.0548,1
565,42.3639,-71.0546,1
566,42.3639,-71.0542,1
567,42.364,-71.0557,1
568,42.364,-71.0536,1
569,42.3641,-71.1018,1
570,42.3641,-71.054,1
571,42.3641,-71.0533,1
