,lat,lng,day,minute,hour,loudness,city,n_agg
463,42.36768349,-71.03445420999999,1,48.476190476190474,7,24.952380952380953,boston,21
464,42.36773761858186,-71.03440322878643,0,55.375,7,31.0739375,boston,16
465,42.36768349,-71.03445421,1,1.0,8,22.666666666666668,boston,3
466,42.36769434000001,-71.03445521000002,2,3.2222222222222223,8,28.555555555555557,boston,9
467,42.36772751,-71.03442313,0,14.625,8,22.174749999999996,boston,8
468,42.36768349,-71.03445421000002,1,18.625,8,26.0,boston,8
469,42.36769434,-71.03445521000002,2,17.9,8,28.766666666666666,boston,30
470,42.36772750999998,-71.03442313000004,0,26.903225806451612,8,30.828612903225807,boston,31
471,42.367683490000005,-71.03445421000005,1,31.365384615384617,8,25.94671153846154,boston,52
472,42.36769434000003,-71.03445521000002,2,28.69811320754717,8,27.132075471698112,boston,53
473,42.36772751,-71.03442313000002,0,44.22222222222222,8,29.960722222222223,boston,18
474,42.36768025061543,-71.0344457367693,1,41.95384615384615,8,28.015384615384615,boston,65
475,42.36769434000001,-71.03445521000002,2,46.38461538461539,8,25.307692307692307,boston,13
476,42.36772751,-71.03442313,0,53.0,8,22.5,boston,4
477,42.36766845,-71.03441487,1,53.333333333333336,8,27.0,boston,3
478,42.36769433999999,-71.03445521000002,2,55.42307692307692,8,28.96153846153846,boston,26
479,42.36772751,-71.03442313000002,0,6.1875,9,27.5625,boston,16
480,42.36766845,-71.03441487,1,3.0,9,21.0,boston,1
481,42.36769434000001,-71.03445521000002,2,3.0,9,27.428571428571427,boston,14
482,42.36772751,-71.03442313000002,0,14.777777777777779,9,22.055555555555557,boston,18
483,42.36766845,-71.03441487000002,1,10.727272727272727,9,23.10381818181818,boston,22
484,42.367694339999986,-71.03445521000002,2,9.869565217391305,9,28.434782608695652,boston,23
485,42.36772750999997,-71.03442313000004,0,35.588235294117645,9,26.147058823529413,boston,34
486,42.36766845000005,-71.03441487000005,1,27.21276595744681,9,32.55208510638298,boston,47
487,42.36769434,-71.03445521,2,28.0,9,26.0,boston,1
488,42.36772750999993,-71.03442312999991,0,43.8433734939759,9,25.40963855421687,boston,83
489,42.367668450000075,-71.03441486999998,1,41.18055555555556,9,30.541666666666668,boston,72
490,42.36769434,-71.03445521,2,45.333333333333336,9,34.333333333333336,boston,3
491,42.36772751,-71.03442313000002,0,55.588235294117645,9,23.647058823529413,boston,17
492,42.36766845,-71.03441486999999,1,57.75,9,24.75,boston,8
493,42.36769434,-71.03445521,2,56.5,9,20.5,boston,2
494,42.36772750999998,-71.03442313000004,0,4.15625,10,30.09375,boston,32
495,42.36766845,-71.03441487,1,4.25,10,20.25,boston,4
496,42.367694340000035,-71.03445520999993,2,4.070422535211268,10,26.338028169014084,boston,71
497,42.36772750999998,-71.03442313000004,0,16.636363636363637,10,28.818181818181817,boston,33
498,42.36766845,-71.03441486999999,1,13.076923076923077,10,31.923076923076923,boston,13
499,42.36769433999995,-71.03445520999978,2,16.88095238095238,10,25.50793650793651,boston,126
500,42.367727509999916,-71.0344231300001,0,32.525252525252526,10,28.42929292929293,boston,198
501,42.36766845000006,-71.03441487000006,1,30.482142857142858,10,28.643982142857144,boston,56
502,42.367694340000035,-71.03445520999995,2,31.735294117647058,10,27.102941176470587,boston,68
503,42.367727509999916,-71.03442312999982,0,45.375,10,27.357142857142858,boston,112
504,42.36766845000006,-71.03441487000006,1,45.339622641509436,10,28.132075471698112,boston,53
505,42.367694340000035,-71.03445520999995,2,45.205882352941174,10,25.63235294117647,boston,68
506,42.36766845,-71.03441487,1,56.333333333333336,10,23.065333333333335,boston,18
507,42.36769434000004,-71.03445520999993,2,54.342465753424655,10,24.892479452054797,boston,73
508,42.36772751,-71.03442313,0,1.0,11,24.0,boston,1
509,42.36766845,-71.03441486999999,1,4.833333333333333,11,21.333333333333332,boston,6
510,42.367694340000035,-71.03445520999995,2,4.071428571428571,11,20.928571428571427,boston,70
511,42.36772751,-71.03442313,0,14.714285714285714,11,21.714285714285715,boston,7
512,42.36766845000006,-71.03441487000006,1,15.385964912280702,11,21.605192982456142,boston,57
513,42.36769434000002,-71.03445520999982,2,15.572815533980583,11,24.02233009708738,boston,103
514,42.36772750999999,-71.03442313000004,0,31.689655172413794,11,25.275862068965516,boston,29
515,42.36766845000007,-71.03441487000002,1,31.841269841269842,11,21.365079365079364,boston,63
516,42.36769434000004,-71.03445520999966,2,31.172043010752688,11,22.326709677419355,boston,279
517,42.367727509999916,-71.03442312999995,0,45.0979020979021,11,28.384615384615383,boston,143
518,42.36766844999995,-71.03441486999998,1,45.66901408450704,11,25.53987323943662,boston,142
519,42.36769434000004,-71.03445520999966,2,44.0573476702509,11,24.523297491039425,boston,279
520,42.36772750999993,-71.03442312999991,0,54.97530864197531,11,27.135802469135804,boston,81
521,42.36766845000008,-71.0344148699999,1,56.79120879120879,11,26.36263736263736,boston,91
522,42.36769434000004,-71.03445520999992,2,55.39473684210526,11,22.427473684210526,boston,76
523,42.36772750999994,-71.03442313000001,0,3.564516129032258,12,26.467741935483872,boston,62
524,42.36766845000004,-71.03441486999986,1,4.700934579439252,12,29.23181308411215,boston,107
525,42.367694340000014,-71.03445521000002,2,0.0,12,55.40326315789474,boston,38
526,42.36772750999991,-71.03442313000002,0,16.54491017964072,12,27.345700598802395,boston,167
527,42.36766844999999,-71.03441486999989,1,10.788617886178862,12,30.221,boston,123
528,42.36772751000017,-71.03442313000033,0,32.00662251655629,12,32.37965121412803,boston,453
529,42.36772750999991,-71.03442313000026,0,47.61846153846154,12,29.055384615384614,boston,325
530,42.36772750999991,-71.03442313000023,0,55.55102040816327,12,32.68707482993197,boston,294
531,42.36772750999991,-71.03442313000023,0,3.1433333333333335,13,33.1421,boston,300
532,42.36912911,-71.03952483,2,3.0,4,35.0,boston,1
533,42.370487000000054,-71.03973200000013,3,35.6822429906542,2,25.130280373831795,boston,107
534,42.37048509090906,-71.03973352272732,3,38.31818181818182,2,25.35886363636363,boston,44
535,42.370409784053415,-71.03577197538576,0,3.5794392523364484,3,32.2803738317757,boston,107
536,42.370303565884555,-71.03566797869969,3,1.514018691588785,3,34.97196261682243,boston,107
537,42.37037027621387,-71.03570946906773,0,14.239747634069401,3,30.457413249211356,boston,317
538,42.37046398447859,-71.03579377839735,3,16.60128617363344,3,27.65434083601286,boston,622
539,42.37036491999985,-71.03568294000027,0,30.495652173913044,3,31.12608695652174,boston,230
540,42.3704102361596,-71.035667601986,3,26.68857142857143,3,34.997142857142855,boston,350
541,42.37036491999977,-71.03568294000013,0,47.36381322957198,3,36.02226459143969,boston,514
542,42.37035466457054,-71.035519081565,3,45.10121951219512,3,34.742232926829274,boston,820
543,42.37036491999993,-71.03568294000006,0,54.39869281045752,3,35.77777777777778,boston,153
544,42.37036156000028,-71.03552499999958,3,56.0,3,43.735368956743,boston,393
545,42.37036491999997,-71.03568293999992,0,3.4,4,32.18,boston,50
546,42.3703372228518,-71.03557559614681,2,5.261261261261262,4,42.46396396396396,boston,222
547,42.37036156000009,-71.03552499999954,3,3.561946902654867,4,42.15929203539823,boston,452
548,42.37029509362116,-71.0356582226683,0,12.637630662020905,4,30.850174216027874,boston,287
549,42.37034052204418,-71.03558107898722,2,15.05748865355522,4,41.93948562783661,boston,661
