,airport_min_dist,bus_line_min_dist,bus_st_count_100,bus_st_count_1000,bus_st_count_150,bus_st_count_200,bus_st_count_25,bus_st_count_250,bus_st_count_300,bus_st_count_50,bus_st_count_500,bus_st_min_dist,fire_count_100,fire_count_1000,fire_count_150,fire_count_200,fire_count_25,fire_count_250,fire_count_300,fire_count_50,fire_count_500,fire_min_dist,fw_exit_count_100,fw_exit_count_1000,fw_exit_count_150,fw_exit_count_200,fw_exit_count_25,fw_exit_count_250,fw_exit_count_300,fw_exit_count_50,fw_exit_count_500,fw_exit_min_dist,hosp_count_100,hosp_count_1000,hosp_count_150,hosp_count_200,hosp_count_25,hosp_count_250,hosp_count_300,hosp_count_50,hosp_count_500,hosp_min_dist,lat,lm_acc_hwy_min_dist,lng,maj_rd_min_dist,min_rd_min_dist,mul_ln_hwy_min_dist,num_rt_hwy_min_dist,parkname,pol_count_100,pol_count_1000,pol_count_150,pol_count_200,pol_count_25,pol_count_250,pol_count_300,pol_count_50,pol_count_500,pol_min_dist,rests_bars_count_100,rests_bars_count_1000,rests_bars_count_150,rests_bars_count_200,rests_bars_count_25,rests_bars_count_250,rests_bars_count_300,rests_bars_count_50,rests_bars_count_500,rests_bars_min_dist,sbwy_line_min_dist,sbwy_st_count_100,sbwy_st_count_1000,sbwy_st_count_150,sbwy_st_count_200,sbwy_st_count_25,sbwy_st_count_250,sbwy_st_count_300,sbwy_st_count_50,sbwy_st_count_500,sbwy_st_min_dist,train_line_min_dist,train_st_count_100,train_st_count_1000,train_st_count_150,train_st_count_200,train_st_count_25,train_st_count_250,train_st_count_300,train_st_count_50,train_st_count_500,train_st_min_dist
97,13422.94822,98.272443,0,40,0,0,0,0,0,0,0,566.6850959,0,1,0,0,0,0,0,0,0,587.9361509,0,0,0,0,0,0,0,0,0,1401.047457,0,0,0,0,0,0,0,0,0,1903.26858,42.356545,98.27242502,-71.169087,165.0572254,73.80179665,679.5777689,566.1914724,Hunnewell Park,0,0,0,0,0,0,0,0,0,1720.253914,0,8,0,0,0,0,0,0,0,595.6899536,1828.464582,0,0,0,0,0,0,0,0,0,1828.464577,59.76869434,0,0,0,0,0,0,0,0,0,2469.087117
98,14943.7056,582.7515604,0,0,0,0,0,0,0,0,0,7413.996566,0,0,0,0,0,0,0,0,0,7564.007533,0,0,0,0,0,0,0,0,0,9630.889026,0,0,0,0,0,0,0,0,0,9425.412498,42.49463886,7566.397045,-71.04418516,7316.378814,7291.326579,7580.755436,7297.058334,Breakheart Reservation,0,0,0,0,0,0,0,0,0,7910.122499,0,0,0,0,0,0,0,0,0,4671.219509,6714.17713,0,0,0,0,0,0,0,0,0,7955.844469,7673.422053,0,0,0,0,0,0,0,0,0,7953.876553
99,4914.551471,43.37253945,1,51,1,1,0,3,3,1,7,46.76384379,0,2,0,0,0,0,0,0,1,463.9406913,0,1,0,0,0,0,0,0,0,998.6292086,0,4,0,0,0,0,0,0,0,716.701194,42.35668182,610.0021217,-71.06542206,43.37226673,46.76349602,460.2945136,319.0792476,Frog Pond Facility Boston Common,0,2,0,0,0,0,0,0,1,391.1081958,0,53,0,0,0,1,2,0,17,238.8871831,76.67234729,0,19,0,0,0,0,1,0,5,261.8584233,1003.297514,0,0,0,0,0,0,0,0,0,1007.848602
100,5417.426328,208.0739114,0,42,0,0,0,0,1,0,6,279.0407538,0,2,0,0,0,0,0,0,0,543.8065817,0,2,0,0,0,0,0,0,0,685.8033689,0,2,0,0,0,0,0,0,0,768.7899524,42.35382567,332.8588539,-71.07095864,54.20450659,86.67565534,55.8751747,55.87497212,George Washington Statue,0,1,0,0,0,0,0,0,0,939.1491565,0,66,0,0,0,3,3,0,8,231.1336679,216.6120448,0,16,0,0,0,1,1,0,1,228.5311487,678.1344866,0,4,0,0,0,0,0,0,0,764.3473183
101,8384.288184,33.06872221,3,48,4,5,0,5,8,2,18,31.70082438,0,2,0,0,0,0,1,0,1,256.756107,0,0,0,0,0,0,0,0,0,1126.686473,0,0,0,0,0,0,0,0,0,1522.17211,42.361328,775.6994974,-71.108139,278.8709096,11.6032254,757.9892542,581.282055,Dana Park,0,0,0,0,0,0,0,0,0,1942.524561,0,30,0,0,0,0,0,0,5,340.2715161,598.6594249,0,1,0,0,0,0,0,0,0,578.712611,562.4150984,0,0,0,0,0,0,0,0,0,1645.557884
102,4424.240568,147.3077376,0,21,0,2,0,2,2,0,5,160.3032304,0,0,0,0,0,0,0,0,0,1427.141786,0,0,0,0,0,0,0,0,0,2365.340044,0,0,0,0,0,0,0,0,0,2471.325539,42.38799579,238.1370949,-71.04827151,237.9607623,4.925105831,1587.930514,1693.089547,Mary O' Malley Waterfront Park,0,1,0,0,0,0,0,0,0,697.0281226,0,2,0,0,0,0,0,0,0,624.053302,1143.65835,0,0,0,0,0,0,0,0,0,1173.774963,544.9346428,0,0,0,0,0,0,0,0,0,1476.206653
103,3170.425436,40.52477214,0,29,0,0,0,0,0,0,4,349.7469829,0,2,0,0,0,0,0,0,0,835.0695384,0,0,0,0,0,0,0,0,0,1368.182514,0,0,0,0,0,0,0,0,0,2058.154043,42.37049438,538.9907839,-71.04354747,159.5762715,5.69910471,40.52509789,1268.884527,Lo Presti Park,0,1,0,0,0,0,0,0,1,395.1166053,0,12,0,0,0,0,0,0,1,493.1855771,378.8823552,0,1,0,0,0,0,0,0,1,366.9112091,1574.808074,0,0,0,0,0,0,0,0,0,1574.747187
104,2632.489589,71.40775229,0,36,0,0,0,2,3,0,11,227.7646728,0,0,0,0,0,0,0,0,0,1047.169654,0,1,0,0,0,0,0,0,0,970.2535017,0,0,0,0,0,0,0,0,0,2613.040283,42.3709183,249.8640566,-71.0365372,0.707478674,1.322976287,287.8019372,914.1614143,East Boston Greenway,0,2,0,1,0,1,1,0,1,187.3325105,0,11,0,0,0,1,1,0,4,216.8565777,67.35159955,0,3,0,0,0,0,0,0,1,329.4623936,2145.258933,0,0,0,0,0,0,0,0,0,2145.209282
105,3008.476345,6.106530207,4,39,5,5,0,7,9,1,15,44.08643759,0,1,0,0,0,0,0,0,0,866.3274524,0,0,0,0,0,0,0,0,0,1376.042085,0,0,0,0,0,0,0,0,0,2607.757353,42.375,184.2876001,-71.03916931,3.526162515,62.01977408,186.1004944,1330.300577,Navy Fuel Pier,0,2,0,0,0,0,0,0,1,441.5012199,0,11,1,2,0,3,3,0,6,111.1093145,437.2909001,0,3,0,0,0,0,0,0,0,668.1186826,2089.840027,0,0,0,0,0,0,0,0,0,2096.422294
106,4418.840709,84.74832821,0,42,1,3,0,6,8,0,16,149.7085713,0,3,0,0,0,0,1,0,1,290.6192731,0,2,0,0,0,0,0,0,0,585.8080603,0,0,0,0,0,0,0,0,0,1227.088883,42.37244,110.3704494,-71.05852,84.74818478,1.477404586,106.7707966,125.9977652,Paul Revere Park,0,0,0,0,0,0,0,0,0,1053.192545,0,32,0,0,0,0,0,0,5,400.2178546,585.9554414,0,3,0,0,0,0,0,0,0,819.3787862,654.6707787,0,10,0,0,0,0,0,0,0,716.8145874
